C,allRecognitionAcc,alpha,epsilon,group,mix_w,nRealis,nWords,pers,phi_RL,phi_WM,r0,v17_total_events,v1NumEvent,v7NumEvent
3,0.689285714285715,0.0190160747946075,0.146435892981413,lab,0.924040787957448,0,74,0.903969574758553,0.0389074815201611,0.23166043407306,0.999999535535974,20,10,10
2,0.732142857142857,0.0517292545096848,0.0334105807416098,lab,0.901039441780791,0,20,0.738292574810505,0.0210292017234681,0.32407702081558,0.558677345905999,11,10,1
3,0.808928571428572,0.0200588407399217,0.0846121555348707,lab,0.9999999700234,4,75,0.949763884625462,0.117841081252826,0.117841106566991,0.999999281695724,28,11,17
5,0.689285714285715,0.00706892296059162,0.0842911843170796,lab,0.726622610615883,2,43,0.962172777493731,0.198402421921836,0.19840329243042,0.999995690404783,9,7,2
4,0.817857142857143,0.0521948500433292,0.0417661715936215,lab,0.983789972638048,6,257,0.746439081985835,0.245862367269929,0.245864506645996,0.999992825051927,22,11,11
2,0.655357142857143,0.0291525517921697,0.0537775829916589,lab,0.999999605364519,7,44,0.329075540220699,0.0764330824021633,0.119370929934746,0.999998999344022,33,13,20
2,0.773214285714286,0.0331755388665624,0.0650879253644945,lab,0.99999009039742,1,112,0.939967737626414,0.0838749152365028,0.0838829779722646,0.999957924032325,24,11,13
5,0.801785714285714,0.0357788830308417,0.0382904436122957,lab,0.879462089228187,11,187,0.887526898796477,0.164450556247134,0.165629413856581,0.334679471984763,33,15,18
3,0.757142857142857,0.0400547278776055,0.0264468695215563,lab,0.99999923212071,12,228,0.875021216400137,0.112199714423658,0.112200235497139,0.615289797633547,18,10,8
3,0.619642857142857,0.0920057982458933,0.0652975329279818,lab,0.999999711290668,3,290,0.829086473572722,0.113063108465392,0.136972114733351,0.805746252011506,18,9,9
4,0.6875,0.0179040860055321,0.0121717212118157,lab,0.752104019330964,0,10,0.729261787058547,0.0535112820631177,0.151410496820785,0.730929885019682,14,7,7
4,0.780357142857143,0.0069851693717979,0.0119878649983782,lab,0.763747113177726,3,72,0.913755014789411,1.01029099040501e-08,0.20474943134881,0.999999510173863,30,10,20
2,0.832142857142857,0.033633974969825,0.0427514191147438,lab,0.99999968182158,0,2,0.830895683742652,0.078481908779229,0.116604931444204,0.665394746359579,16,8,8
3,0.807142857142857,0.0239810196839485,0.0338486584682408,lab,0.982736303306855,5,81,0.885250070670993,0.127545505353064,0.145116489682482,0.999999404885811,32,18,14
2,0.669642857142857,0.109167966200585,0.0673421125254106,lab,0.500003218947894,3,113,0.342779112485216,0.0909580228134043,0.475059074794953,0.7955434105617,52,24,28
2,0.714285714285714,0.0409717833602373,0.131932900840215,online,0.999751969646653,18,79.5,0.894179659100412,0.0444797025429976,0.389892770911962,0.720143917726018,25,12,13
3,0.67032967032967,0.0233274372039031,0.0862349977869049,online,0.695929231545166,24,158,0.917527513099806,0.0415874340202254,0.232585837054033,0.798478329067613,56,25,31
4,0.714285714285714,0.0407368109086467,0.117828557391534,online,0.500000276293014,16,105.5,0.884663035420368,0.063633093765185,0.131753575205721,0.999999171291245,68,44,24
2,0.681318681318681,0.020223167037052,0.152314314323973,online,0.754097274876562,23,173.5,0.292282490113152,0.00630967668287451,0.00631032720059357,0.999995846078613,22,11,11
3,0.582417582417582,0.0204704008561127,0.0966604690509233,online,0.50000979590592,8,68,0.930098100930569,0.0414562657484068,0.371288358592855,0.999999752547392,73,36,37
3,0.758241758241758,0.0369807611167025,0.101376650106486,online,0.890748645171571,10,45,0.843850371693885,0.116766073959501,0.223722659581472,0.713809046569619,31,15,16
3,0.791208791208791,0.0244540467983638,0.102356183317264,online,0.755939542181496,20,91,0.955163700521766,0.057251073439564,0.245332027482993,0.662481617317012,39,17,22
